movie Name,movie year,movie Rate,movie duration,movie certificate,movie URL
185. Barry Lyndon,1975,8.1,185,A,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_185
184. Mad Max: Fury Road,2015,8.1,120,15,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_184
183. Ben-Hur,1959,8.1,212,A,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_183
182. Gran Torino,2008,8.1,116,15,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_182
181. Million Dollar Baby,2004,8.1,132,12A,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_181
180. Dead Poets Society,1989,8.1,128,PG,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_180
179. Warrior,2011,8.1,140,12A,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_179
195. Ratatouille,2007,8.1,111,U,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_195
196. Gone Girl,2014,8.1,149,18,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_196
197. How to Train Your Dragon,2010,8.1,98,PG,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_197
189. The Grand Budapest Hotel,2014,8.1,99,15,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_189
190. 12 Years a Slave,2013,8.1,134,15,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_190
191. Before Sunrise,1995,8.1,101,15,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_191
193. Blade Runner,1982,8.1,117,AA,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_193
188. Hacksaw Ridge,2016,8.1,139,15,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_188
202. The Gold Rush,1925,8.1,95,U,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_202
203. Le Mans '66,2019,8.1,152,12A,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_203
205. Mary and Max,2009,8.1,92,12A,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_205
204. Sherlock Jr.,1924,8.1,45,U,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_204
207. The General,1926,8.1,78,U,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_207
208. The Wages of Fear,1953,8.1,156,12A,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_208
209. Mr. Smith Goes to Washington,1939,8.1,129,U,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_209
206. The Deer Hunter,1978,8.1,183,X,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_206
210. Logan,2017,8.1,137,15,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_210
211. On the Waterfront,1954,8.1,108,A,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_211
213. Wild Strawberries,1957,8.1,92,A,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_213
"198. Monsters, Inc.",2001,8.1,92,U,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_198
199. Jaws,1975,8.1,124,A,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_199
200. In the Name of the Father,1993,8.1,133,15,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_200
201. Wild Tales,2014,8.1,122,15,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_201
194. Memories of Murder,2003,8.1,131,15,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_194
217. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,12A,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_217
216. Spotlight,2015,8.1,129,15,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_216
215. The Third Man,1949,8.1,104,A,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_215
214. Tokyo Story,1953,8.1,137,U,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_214
212. Rocky,1976,8.1,120,A,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_212
219. The Terminator,1984,8.1,107,18,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_219
220. The Big Lebowski,1998,8.1,117,18,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_220
221. La haine,1995,8.1,98,15,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_221
227. The Best Years of Our Lives,1946,8.1,170,U,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_227
228. Before Sunset,2004,8.1,80,15,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_228
229. The Sound of Music,1965,8.1,172,U,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_229
230. The Exorcist,1973,8.1,122,X,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_230
223. The Seventh Seal,1957,8.1,96,X,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_223
224. Room,2015,8.1,118,15,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_224
225. Hotel Rwanda,2004,8.1,121,12A,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_225
226. Platoon,1986,8.1,120,15,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_226
242. The Battle of Algiers,1966,8.1,121,X,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_242
234. The Wizard of Oz,1939,8.1,102,A,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_234
233. Rush,2013,8.1,123,15,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_233
232. Hachi: A Dog's Tale,2009,8.1,93,U,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_232
238. The Iron Giant,1999,8.1,86,U,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_238
235. A Silent Voice,2016,8.1,130,12A,https://www.imdb.com/title/tt5323662/?ref_=chttp_i_235
237. Stand by Me,1986,8.1,89,15,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_237
236. The Passion of Joan of Arc,1928,8.1,110,A,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_236
243. The Grapes of Wrath,1940,8.1,129,A,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_243
241. Network,1976,8.1,121,AA,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_241
240. The Handmaiden,2016,8.1,145,18,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_240
244. To Be or Not to Be,1942,8.1,99,U,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_244
248. The Help,2011,8.1,146,12A,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_248
231. The Incredibles,2004,8.0,115,U,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_231
247. Into the Wild,2007,8.0,148,15,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_247
250. Groundhog Day,1993,8.0,101,PG,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_250
